茶		968	968
饮料杯		969	969
雪山		970	970
泡泡		971	971
悬崖		972	973
温泉		974	974
风景		975	975
小岛		976	976
沙滩		977	977
海滩		978	978
瀑布		979	979
火山		980	981
婚礼		982	982
潜水		983	983
油菜花		984	984
菊花		985	985
植物		986	986
玉米		987	987
松果		988	989
栗子		990	990
菌菇		991	998
卷筒纸		999	999
